user_1|movie_1270,movie_1022,movie_2340,movie_1836|5.0,5.0,3.0,5.0|F|group_1|occupation_10
user_5317|movie_3087,movie_550,movie_2261,movie_587|2.0,4.0,5.0,3.0|F|group_25|occupation_0
user_5317|movie_2261,movie_587,movie_1870,movie_2706|5.0,3.0,5.0,4.0|F|group_25|occupation_0
user_5317|movie_1870,movie_2706,movie_237,movie_231|5.0,4.0,3.0,1.0|F|group_25|occupation_0
user_5317|movie_237,movie_231,movie_1135,movie_2141|3.0,1.0,4.0,4.0|F|group_25|occupation_0
user_5317|movie_1135,movie_2141,movie_1625,movie_260|4.0,4.0,5.0,5.0|F|group_25|occupation_0
user_5317|movie_1625,movie_260,movie_1204,movie_1262|5.0,5.0,5.0,5.0|F|group_25|occupation_0
user_5317|movie_1198,movie_2871,movie_1931,movie_1967|5.0,5.0,4.0,5.0|F|group_25|occupation_0
user_5317|movie_1931,movie_1967,movie_1275,movie_1210|4.0,5.0,5.0,5.0|F|group_25|occupation_0
user_5317|movie_1275,movie_1210,movie_1017,movie_2057|5.0,5.0,4.0,4.0|F|group_25|occupation_0
user_5317|movie_1017,movie_2057,movie_480,movie_2640|4.0,4.0,3.0,5.0|F|group_25|occupation_0
user_5317|movie_480,movie_2640,movie_2193,movie_3672|3.0,5.0,5.0,5.0|F|group_25|occupation_0
user_5317|movie_2193,movie_3672,movie_648,movie_1009|5.0,5.0,3.0,4.0|F|group_25|occupation_0
user_5317|movie_648,movie_1009,movie_2093,movie_1377|3.0,4.0,2.0,3.0|F|group_25|occupation_0
user_5317|movie_2093,movie_1377,movie_3698,movie_208|2.0,3.0,5.0,1.0|F|group_25|occupation_0
user_5317|movie_3698,movie_208,movie_3705,movie_2471|5.0,1.0,3.0,3.0|F|group_25|occupation_0
user_5317|movie_3705,movie_2471,movie_2135,movie_2642|3.0,3.0,4.0,3.0|F|group_25|occupation_0
user_5317|movie_2421,movie_3249,movie_2916,movie_904|4.0,4.0,5.0,4.0|F|group_25|occupation_0
user_5317|movie_2916,movie_904,movie_2413,movie_50|5.0,4.0,5.0,5.0|F|group_25|occupation_0
user_5317|movie_2413,movie_50,movie_903,movie_457|5.0,5.0,4.0,4.0|F|group_25|occupation_0
user_5317|movie_903,movie_457,movie_1089,movie_589|4.0,4.0,5.0,4.0|F|group_25|occupation_0
user_5317|movie_319,movie_1086,movie_1036,movie_6|5.0,4.0,3.0,2.0|F|group_25|occupation_0
