,Accuracy,Train Losses,Test Losses,MAE
0,0.9743589743589743,"[0.6342484114898576, 0.5078180986973975, 0.4367269132700231, 0.46379475605984527, 0.41552384404672515, 0.4321058360445831, 0.45570903416309094, 0.5308884531776938, 0.5726463719685044, 0.5433568596425984]","[0.46292203664779663, 0.33003013022243977, 0.2649780195206404, 0.23867537640035152, 0.23930752789601684, 0.25435855239629745, 0.27091871621087193, 0.2927977351937443, 0.30722949653863907, 0.31638795556500554]",0.02564102564102564
1,0.9358974358974359,"[0.6869421733750237, 0.6827088933851984, 0.6484368625614378, 0.6513934888773494, 0.6453474279907014, 0.6797521031565137, 0.6516929980781343, 0.7406105001767477, 0.7088376163608499, 0.6641599643561575]","[0.6721375957131386, 0.6525394842028618, 0.6500720828771591, 0.6685101129114628, 0.677326463162899, 0.6978359520435333, 0.7148378323763609, 0.7168830744922161, 0.7208628058433533, 0.7657379787415266]",0.0641025641025641
2,0.7564102564102564,"[0.6806928134626813, 0.7014729132254919, 0.6833951804373, 0.6848208175765144, 0.6986334969600042, 0.7019505235883925, 0.6885267661677467, 0.6843370629681481, 0.6910528474383884, 0.6908885257111655]","[0.6775219142436981, 0.6774253100156784, 0.6845794096589088, 0.6971880197525024, 0.6979490518569946, 0.6776569932699203, 0.6786593794822693, 0.6818204447627068, 0.6804211661219597, 0.680816724896431]",0.24358974358974358
3,0.8461538461538461,"[0.6986827767557569, 0.7018239895502726, 0.6926659544308981, 0.6970696432722939, 0.6892165260182487, 0.6807633737723032, 0.6869413711958461, 0.6713817823264334, 0.6916051142745547, 0.6940049909883075]","[0.7113181427121162, 0.7190506532788277, 0.7115974649786949, 0.7125562429428101, 0.7057793587446213, 0.7035148963332176, 0.707578644156456, 0.7099911831319332, 0.7071909159421921, 0.70493084192276]",0.15384615384615385
4,0.7564102564102564,"[0.692294160525004, 0.6985259453455607, 0.7036804639630847, 0.6959088328811858, 0.6995263910955853, 0.6827837162547641, 0.7006134109364616, 0.6956508855024973, 0.6962939699490865, 0.6852947639094459]","[0.7060542777180672, 0.6990863382816315, 0.700346976518631, 0.6956221386790276, 0.7012707218527794, 0.7049492299556732, 0.7087248638272285, 0.7069591507315636, 0.7057813182473183, 0.7027754634618759]",0.24358974358974358
5,0.9230769230769231,"[0.7064804749356376, 0.6888988150490655, 0.6717716091208987, 0.6560922207103835, 0.6738193589780066, 0.7036977749731805, 0.6496424062384499, 0.6938533758123716, 0.6791830095979903, 0.708236044479741]","[0.7100007012486458, 0.6949640661478043, 0.69167660176754, 0.6909259185194969, 0.6882870346307755, 0.6926534697413445, 0.7012401819229126, 0.7101146690547466, 0.7215778157114983, 0.7368890717625618]",0.07692307692307693
6,0.8333333333333334,"[0.7195921026998096, 0.698863704999288, 0.7101252211464776, 0.7042298995786243, 0.7097798138856888, 0.6950359841187795, 0.68524402876695, 0.6795873128705554, 0.6981026414367888, 0.6889515287346311]","[0.6889841854572296, 0.6774051114916801, 0.6824664771556854, 0.6772691532969475, 0.6939939931035042, 0.6951164752244949, 0.6934950947761536, 0.6734820678830147, 0.6762225553393364, 0.6812838464975357]",0.16666666666666666
7,0.7564102564102564,"[0.6923562056488461, 0.6888246536254883, 0.6844001743528578, 0.6986306127574708, 0.6864618245098326, 0.7015877316395441, 0.6994402060906092, 0.6914117468727959, 0.698992982506752, 0.6988591849803925]","[0.6856183707714081, 0.6836085617542267, 0.6782142296433449, 0.6807484179735184, 0.6806572005152702, 0.6860597506165504, 0.6933151111006737, 0.6925113275647163, 0.6913134679198265, 0.6858374923467636]",0.24358974358974358
8,0.8311688311688312,"[0.7018136332432429, 0.6820685515801111, 0.6942256904310651, 0.6906721111800935, 0.687807528509034, 0.6874565018547906, 0.7050729708539115, 0.7032478120591905, 0.6772703809870614, 0.6765070839060677]","[0.6846578195691109, 0.6842365935444832, 0.6817430257797241, 0.6840406060218811, 0.68622275441885, 0.6901216506958008, 0.685991033911705, 0.6863159164786339, 0.6857113987207413, 0.6801567822694778]",0.16883116883116883
9,0.8311688311688312,"[0.7072038253148397, 0.6867943472332425, 0.6720437672403123, 0.6954446882009506, 0.6804572625292672, 0.7015555815564262, 0.6770311858918932, 0.6794859303368462, 0.6892636385228899, 0.6886283291710747]","[0.6977109983563423, 0.7028811797499657, 0.7050291299819946, 0.6996680796146393, 0.6949631720781326, 0.6900280341506004, 0.6944793686270714, 0.6905273944139481, 0.6856169402599335, 0.6874478459358215]",0.16883116883116883
