,Accuracy,Train Losses,Test Losses,MAE
0,0.9743589743589743,"[0.5537143117851682, 0.5007337969210413, 0.47357336431741714, 0.4222913235425949, 0.37735693094631034, 0.5442423193405072, 0.4710386333366235, 0.44777651881385183, 0.5565053994456927, 0.6601428949895004]","[0.48334312066435814, 0.45097924023866653, 0.46068043168634176, 0.47909017745405436, 0.5034523699432611, 0.5271440553478897, 0.5379318778868765, 0.5546666493173689, 0.5602767183445394, 0.5675305225886405]",0.02564102564102564
1,0.9102564102564102,"[0.6386932084957758, 0.6762075068222152, 0.6341957408520911, 0.6177664150794347, 0.6906656838125653, 0.6070714042418532, 0.7313829275468985, 0.6940863273209996, 0.7282870283557309, 0.787400871515274]","[0.626512736082077, 0.6273441128432751, 0.617575503885746, 0.6171937994658947, 0.6384177077561617, 0.6498138178139925, 0.6743347328156233, 0.7051228825002909, 0.724661260843277, 0.73830970749259]",0.08974358974358974
2,0.7692307692307693,"[0.6928250458505418, 0.7082992742458979, 0.6830937961737314, 0.7044112897581525, 0.7007001108593411, 0.7098909318447113, 0.7008863108025657, 0.6914545545975367, 0.6844735907183753, 0.6808915717734231]","[0.6792971417307854, 0.6695761010050774, 0.6433508694171906, 0.6509664878249168, 0.6678004935383797, 0.6819727569818497, 0.672880157828331, 0.6738811954855919, 0.6725292578339577, 0.6824029684066772]",0.23076923076923078
3,0.6282051282051282,"[0.7204543865389295, 0.726541765862041, 0.7008438242806329, 0.706389938791593, 0.688921418454912, 0.6836488826407326, 0.7146412216954761, 0.6964017028609911, 0.6926607688268026, 0.6919440163506402]","[0.6979099288582802, 0.6936062946915627, 0.6916440427303314, 0.6877076774835587, 0.6900967210531235, 0.7056898772716522, 0.7004642635583878, 0.6949194669723511, 0.6858986988663673, 0.6858215555548668]",0.3717948717948718
4,0.6282051282051282,"[0.7061046130127377, 0.7003171079688602, 0.6920958956082662, 0.6977059112654792, 0.7085704290204577, 0.7082379327880012, 0.7014275425010257, 0.6918258733219571, 0.6894652611679501, 0.7012749711672465]","[0.7117311358451843, 0.7017073258757591, 0.7023572400212288, 0.7066939324140549, 0.7105450928211212, 0.7009120434522629, 0.6979441121220589, 0.7015165761113167, 0.6946019232273102, 0.690433457493782]",0.3717948717948718
5,0.9102564102564102,"[0.7185211959812376, 0.6969762030575011, 0.6719120774004195, 0.672264372309049, 0.7133668156133758, 0.6581051804953151, 0.7134389736586146, 0.6817712237437566, 0.7075062402420573, 0.7095409118466907]","[0.7037077099084854, 0.7135112211108208, 0.7196463868021965, 0.7387960329651833, 0.7415401265025139, 0.750824935734272, 0.7552886791527271, 0.7639539577066898, 0.7835939452052116, 0.7741584703326225]",0.08974358974358974
6,0.6666666666666666,"[0.7419993744956123, 0.7138222455978394, 0.7120158076286316, 0.6981928911474016, 0.7031696654028363, 0.7029522243473265, 0.6885563996103075, 0.6789348291026222, 0.690664615896013, 0.7119919773605135]","[0.6990027576684952, 0.684564545750618, 0.6827124059200287, 0.6822493895888329, 0.6828929111361504, 0.6802781075239182, 0.6810990571975708, 0.683323934674263, 0.6793024092912674, 0.6743474453687668]",0.3333333333333333
7,0.7307692307692307,"[0.697373648484548, 0.7060659031073252, 0.689154315325949, 0.7018769201305177, 0.6997876200411055, 0.7012086874908872, 0.7016706118981043, 0.6981898612446256, 0.7011229826344384, 0.7057740936676661]","[0.7009927704930305, 0.6969794109463692, 0.696482852101326, 0.6984115988016129, 0.6994752660393715, 0.69779983907938, 0.6974484845995903, 0.6968338042497635, 0.6970494911074638, 0.6990422755479813]",0.2692307692307692
8,0.8181818181818182,"[0.7041535642411973, 0.6896840201483833, 0.7010911802450815, 0.7019137160645591, 0.6770953585704168, 0.678634461429384, 0.6811515076292886, 0.7038707898722755, 0.6944602065616183, 0.6924604111247592]","[0.6999756693840027, 0.6969500258564949, 0.6985023245215416, 0.6932283639907837, 0.6899989098310471, 0.6860004737973213, 0.684736505150795, 0.6855091154575348, 0.6866136565804482, 0.681988850235939]",0.18181818181818182
9,0.8311688311688312,"[0.6820084634754393, 0.6943490223752128, 0.6970289564794965, 0.6959399696853426, 0.6634720431433784, 0.7031168142954508, 0.6780058402154181, 0.691157642338011, 0.673436176445749, 0.7023181269566218]","[0.6923989877104759, 0.6913188695907593, 0.686835303902626, 0.6858362182974815, 0.6912993490695953, 0.6915094703435898, 0.694424144923687, 0.6998583674430847, 0.6968635320663452, 0.6937044262886047]",0.16883116883116883
