,Accuracy,Train Losses
0,"[0.5665478563213103, 0.21382590615221905, 0.5860179078381431, 0.5233418632857225, 0.7234237093748881]","[1.291928451931612, 1.0408147236501628, 0.9316839943216606, 0.8596226649189537, 0.8016872058453207, 0.7576269128952514, 0.7132561879486523, 0.6797346710650758, 0.6328582706522535, 0.5962274084714326]"
1,"[0.5640709951670105, 0.21329463790182318, 0.5825156035212713, 0.5194439058674831, 0.7207245700456473]","[1.2704695000059225, 1.0220380845395, 0.9140131502327594, 0.8432336821305481, 0.7943107428198511, 0.7499097730456428, 0.7116285427896814, 0.6732517980377782, 0.6355448079888116, 0.5956024739213965]"
2,"[0.5594749892290586, 0.20676894563772183, 0.5868905976385719, 0.5123674138487531, 0.7157984449890576]","[1.2651859893548218, 1.0261981061405756, 0.9233331513506445, 0.8470283868637952, 0.7982201351868835, 0.7541954574090514, 0.7101102666082707, 0.6728202413598244, 0.6317265199243345, 0.5900555558672006]"
3,"[0.5670120576661127, 0.22248042770680226, 0.5725525113998248, 0.5337991942048802, 0.7306156268551065]","[1.2772685349495574, 1.0340293250469998, 0.925527477721599, 0.8559011207385496, 0.8016540707004342, 0.7559523278508674, 0.718047835779461, 0.6781453668478538, 0.6392020962878384, 0.6007005621848459]"
4,"[0.5662258510425708, 0.21865345688420498, 0.5754233113980061, 0.5299099834943393, 0.7279491627128499]","[1.2671224087138067, 1.0238611548292367, 0.925718404352665, 0.8525483905422416, 0.8009895121001385, 0.7560551086948677, 0.7178564166904173, 0.6774843487126584, 0.638511283238503, 0.601415234871886]"
5,"[0.5716567578162278, 0.2277545059249291, 0.5638660637592324, 0.5437114960682888, 0.7373679516145849]","[1.272717844102193, 1.0236933011222968, 0.9188907251439311, 0.8480605425482447, 0.7982818812809207, 0.7555392276157032, 0.7155841681682928, 0.6783145848576996, 0.6402213751677085, 0.5965510206720368]"
6,"[0.5743307662906855, 0.2113683730482699, 0.5725654742871873, 0.5327330688621486, 0.7298856546488283]","[1.270001689903438, 1.0295415060933342, 0.9210321843962778, 0.8497964400290088, 0.8001968570222909, 0.7556334435093132, 0.7204927255145528, 0.6818188344636424, 0.6453862579285421, 0.6095631859180602]"
7,"[0.5795398033150332, 0.20375350796264868, 0.5715396321872785, 0.5352417135254645, 0.7316021552219926]","[1.2747197993607684, 1.032138360494917, 0.9226671051742001, 0.8480251265520399, 0.796161266382445, 0.7542979646982118, 0.7126179808666083, 0.6765193471854384, 0.6374346770515497, 0.5991254032758827]"
8,"[0.57099224079725, 0.2147114999267027, 0.5764785967654522, 0.5275821950528832, 0.7263485355205744]","[1.270779021507637, 1.0298575513403525, 0.9199655924669721, 0.8508317622948777, 0.7955369945954193, 0.7551312243396585, 0.7160691715438258, 0.679920151702721, 0.6431145989759401, 0.6030202991413799]"
9,"[0.5647708463578507, 0.21625610535601614, 0.5783269695672608, 0.5258391424734691, 0.7251476694256619]","[1.2760369065641002, 1.030484643172134, 0.925276064906608, 0.8553751083090901, 0.8044071242382581, 0.7582694864831865, 0.721016792411154, 0.6846306847239082, 0.6408218819732693, 0.604666307060556]"
