,Accuracy,Train Losses,Classification
0,0.38461539149284363,"[0.6887043714523315, 0.6288989782333374, 0.5823526382446289, 0.5392797589302063, 0.4987088739871979, 0.4613393545150757, 0.42608773708343506, 0.3927042484283447, 0.3602939248085022, 0.3290725350379944]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        16
         1.0       0.38      1.00      0.56        10

    accuracy                           0.38        26
   macro avg       0.19      0.50      0.28        26
weighted avg       0.15      0.38      0.21        26
"
1,0.6153846383094788,"[0.6906573176383972, 0.6390424370765686, 0.5974085927009583, 0.5585557818412781, 0.5195104479789734, 0.48261570930480957, 0.4459932744503021, 0.4105735719203949, 0.377093642950058, 0.3459908366203308]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        10
         1.0       0.62      1.00      0.76        16

    accuracy                           0.62        26
   macro avg       0.31      0.50      0.38        26
weighted avg       0.38      0.62      0.47        26
"
2,0.42307692766189575,"[0.6895452737808228, 0.6396945714950562, 0.6009820699691772, 0.5607637763023376, 0.521744430065155, 0.48336294293403625, 0.44595375657081604, 0.40916192531585693, 0.37541332840919495, 0.3425807058811188]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        15
         1.0       0.42      1.00      0.59        11

    accuracy                           0.42        26
   macro avg       0.21      0.50      0.30        26
weighted avg       0.18      0.42      0.25        26
"
3,0.38461539149284363,"[0.6971206665039062, 0.6476317644119263, 0.6061438918113708, 0.5656545758247375, 0.5269950032234192, 0.4888852834701538, 0.45166870951652527, 0.41613173484802246, 0.3815888464450836, 0.3490426242351532]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        16
         1.0       0.38      1.00      0.56        10

    accuracy                           0.38        26
   macro avg       0.19      0.50      0.28        26
weighted avg       0.15      0.38      0.21        26
"
4,0.5199999809265137,"[0.6914319396018982, 0.6425657272338867, 0.6003814339637756, 0.5605592131614685, 0.5215957164764404, 0.4846062660217285, 0.4488881528377533, 0.41481611132621765, 0.38254255056381226, 0.3515346348285675]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        12
         1.0       0.52      1.00      0.68        13

    accuracy                           0.52        25
   macro avg       0.26      0.50      0.34        25
weighted avg       0.27      0.52      0.36        25
"
5,0.6000000238418579,"[0.6912538409233093, 0.6425157189369202, 0.6041289567947388, 0.5656261444091797, 0.5280808806419373, 0.491544634103775, 0.45656976103782654, 0.4220868945121765, 0.38936811685562134, 0.3572731018066406]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        10
         1.0       0.60      1.00      0.75        15

    accuracy                           0.60        25
   macro avg       0.30      0.50      0.37        25
weighted avg       0.36      0.60      0.45        25
"
6,0.5199999809265137,"[0.6914541125297546, 0.6430548429489136, 0.6013084053993225, 0.5622783899307251, 0.5232105255126953, 0.4858781397342682, 0.4490378797054291, 0.414562463760376, 0.380953848361969, 0.34992852807044983]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        12
         1.0       0.52      1.00      0.68        13

    accuracy                           0.52        25
   macro avg       0.26      0.50      0.34        25
weighted avg       0.27      0.52      0.36        25
"
7,0.36000001430511475,"[0.6914331316947937, 0.63796067237854, 0.5937506556510925, 0.5526748895645142, 0.512053370475769, 0.47359511256217957, 0.4365495443344116, 0.40169858932495117, 0.3687826097011566, 0.33898982405662537]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        16
         1.0       0.36      1.00      0.53         9

    accuracy                           0.36        25
   macro avg       0.18      0.50      0.26        25
weighted avg       0.13      0.36      0.19        25
"
8,0.5600000023841858,"[0.6919688582420349, 0.6406309008598328, 0.5998539924621582, 0.561631441116333, 0.5227304697036743, 0.486200213432312, 0.449540913105011, 0.4153912365436554, 0.38294392824172974, 0.35173529386520386]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        11
         1.0       0.56      1.00      0.72        14

    accuracy                           0.56        25
   macro avg       0.28      0.50      0.36        25
weighted avg       0.31      0.56      0.40        25
"
9,0.4000000059604645,"[0.6908374428749084, 0.6383311748504639, 0.5957010388374329, 0.5548463463783264, 0.5144498348236084, 0.4751230776309967, 0.43784230947494507, 0.4028906226158142, 0.36975282430648804, 0.33844873309135437]","              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00        15
         1.0       0.40      1.00      0.57        10

    accuracy                           0.40        25
   macro avg       0.20      0.50      0.29        25
weighted avg       0.16      0.40      0.23        25
"
