,Accuracy,Train Losses,Test Losses,MAE
0,0.9743589743589743,"[0.6584093628658189, 0.4654927659365866, 0.44674639652172726, 0.45179827821751434, 0.44741311348560786, 0.5763262537204557, 0.5783893537397186, 0.6155488343081541, 0.49720377042993075, 0.5620925699412409]","[0.526843648403883, 0.40134546905755997, 0.3703591004014015, 0.39830535603687167, 0.45165449287742376, 0.4825533649418503, 0.5156628915574402, 0.5207774912705645, 0.544621916837059, 0.5553131735650823]",0.02564102564102564
1,0.9358974358974359,"[0.7581100463867188, 0.7086392839749655, 0.6691383288966285, 0.6328095884786712, 0.6472533096869787, 0.6324798514445623, 0.6539853430456586, 0.6308839246630669, 0.6493217655354075, 0.6341587669319577]","[0.7143478989601135, 0.6891632303595543, 0.6718575209379196, 0.6676284186542034, 0.6725788377225399, 0.677784938365221, 0.6757041811943054, 0.6799319721758366, 0.6810583285987377, 0.6999910622835159]",0.0641025641025641
2,0.8589743589743589,"[0.7040013290113873, 0.6867544800043106, 0.6872003475824991, 0.6791081362300448, 0.6857717600133684, 0.6768385784493552, 0.6881464372078577, 0.6784744047456317, 0.6776192320717705, 0.6696111410856247]","[0.6808526739478111, 0.6845794543623924, 0.679189920425415, 0.6754315719008446, 0.6700722873210907, 0.6672807186841965, 0.6732190176844597, 0.668358787894249, 0.6669019311666489, 0.6645554006099701]",0.14102564102564102
3,0.8717948717948718,"[0.6791239521569676, 0.6781376881731881, 0.675390652484364, 0.676381935675939, 0.6805638886160321, 0.6776351465119256, 0.6743325475189421, 0.6732655101352267, 0.679105614622434, 0.6789321783516142]","[0.690831370651722, 0.6895035654306412, 0.6867782026529312, 0.6848969906568527, 0.6844574064016342, 0.6834504380822182, 0.681375116109848, 0.6797156631946564, 0.6763039752840996, 0.6737169995903969]",0.1282051282051282
4,0.44871794871794873,"[0.7097328702608744, 0.6958262986607022, 0.6961276365651025, 0.6925044804811478, 0.6858259555366304, 0.6898214055432214, 0.6856106718381246, 0.6759365316894319, 0.6839417119820913, 0.6831383523013856]","[0.6909847781062126, 0.6902939155697823, 0.6901888102293015, 0.6905624940991402, 0.6926590576767921, 0.6929506063461304, 0.6932158321142197, 0.6947737485170364, 0.694199413061142, 0.6954749226570129]",0.5512820512820513
5,0.9230769230769231,"[0.7039262685510848, 0.6848580605453916, 0.6748138335016038, 0.6644565479622947, 0.6415562596586015, 0.6459427815344598, 0.6580572807126575, 0.6445532043774923, 0.6500032055709097, 0.6643165681097243]","[0.6979362517595291, 0.6942326575517654, 0.694978877902031, 0.7035542502999306, 0.7174728810787201, 0.7239426411688328, 0.7284470088779926, 0.7349546477198601, 0.7179987989366055, 0.7221715301275253]",0.07692307692307693
6,0.7435897435897436,"[0.7022496842675738, 0.6887207362386916, 0.6857836031251483, 0.6738420542743471, 0.6853268726004494, 0.6656350509987937, 0.6624831077125337, 0.6776149521271387, 0.679502569966846, 0.6790797760089239]","[0.6864528506994247, 0.6822972074151039, 0.682770699262619, 0.6846888139843941, 0.684963770210743, 0.6901400089263916, 0.6912152916193008, 0.6876427084207535, 0.6854630708694458, 0.6858064383268356]",0.2564102564102564
7,0.8205128205128205,"[0.6959680020809174, 0.696318174401919, 0.6864940656556023, 0.6847034212615755, 0.6890060355265936, 0.6812983701626459, 0.6827819148699442, 0.6750526246097353, 0.6710774319039451, 0.6707451012399461]","[0.6830112710595131, 0.6672768667340279, 0.668292835354805, 0.6724925562739372, 0.681237056851387, 0.6742778196930885, 0.673530250787735, 0.6715687736868858, 0.6694218888878822, 0.6761305555701256]",0.1794871794871795
8,0.6623376623376623,"[0.6928218685918384, 0.6787536558177736, 0.6845226469967101, 0.6790859467453427, 0.671152244011561, 0.6788553297519684, 0.678465238875813, 0.666826981637213, 0.6814104235834546, 0.6804555604855219]","[0.6830602064728737, 0.679449662566185, 0.6781984344124794, 0.6764585673809052, 0.6766596436500549, 0.6751564219594002, 0.672942616045475, 0.6711696907877922, 0.6705340594053268, 0.6719289869070053]",0.33766233766233766
9,0.7532467532467533,"[0.6829849647151099, 0.6751342680719163, 0.6821962959236569, 0.6664191832145056, 0.6684231592549218, 0.6875983443525102, 0.6678708973858092, 0.6677784025669098, 0.6610518602861298, 0.6527842829624811]","[0.6841178461909294, 0.6828915923833847, 0.6842329949140549, 0.6847147271037102, 0.6854105666279793, 0.6872828230261803, 0.6891476064920425, 0.6902420446276665, 0.6918230876326561, 0.6975242719054222]",0.24675324675324675
