,Accuracy,Train Losses,Test Losses,MAE,Classification
0,0.5212224108658744,"[0.6994313164190813, 0.7006227807565168, 0.6953559572046454, 0.6914227984168313, 0.6905857270414179, 0.6894775954159823, 0.6940133734182878, 0.6877972483634949, 0.6907358169555664, 0.6860479604114186]","[0.6942348480224609, 0.693554957707723, 0.6920323769251505, 0.6910077730814616, 0.6902013818422953, 0.6887133916219076, 0.6879368821779887, 0.6872823238372803, 0.6868712504704794, 0.6855588952700297]",0.47877758913412566,"              precision    recall  f1-score   support

           0       0.09      0.66      0.15        38
           1       0.96      0.51      0.67       551

    accuracy                           0.52       589
   macro avg       0.52      0.58      0.41       589
weighted avg       0.90      0.52      0.63       589
"
1,0.8285229202037352,"[0.6949287002736871, 0.6930005062710155, 0.6904920285398309, 0.6879135912114923, 0.6865422942421653, 0.6851754459467801, 0.6861733143979852, 0.6824360218915072, 0.680658372965726, 0.6816789236935702]","[0.693121333916982, 0.6921798984209696, 0.6908354163169861, 0.6900781790415446, 0.6894545157750448, 0.6893261869748434, 0.6897599895795187, 0.6895169417063395, 0.6888347069422404, 0.6871810158093771]",0.17147707979626486,"              precision    recall  f1-score   support

           0       0.18      0.44      0.25        39
           1       0.96      0.86      0.90       550

    accuracy                           0.83       589
   macro avg       0.57      0.65      0.58       589
weighted avg       0.90      0.83      0.86       589
"
2,0.398981324278438,"[0.6963747414675626, 0.6921175447377291, 0.6935831470922991, 0.6905254884199663, 0.6859383420510725, 0.6855676824396307, 0.6867455514994535, 0.682744253765453, 0.6845553571527655, 0.6812290169975974]","[0.696105937163035, 0.6905549764633179, 0.6881195108095804, 0.686020036538442, 0.6841566363970438, 0.6830220619837443, 0.6812694668769836, 0.679325004418691, 0.6783830920855204, 0.6777374744415283]",0.601018675721562,"              precision    recall  f1-score   support

           0       0.10      0.90      0.17        41
           1       0.98      0.36      0.53       548

    accuracy                           0.40       589
   macro avg       0.54      0.63      0.35       589
weighted avg       0.92      0.40      0.50       589
"
3,0.6876061120543294,"[0.6924490332603455, 0.6891947605393149, 0.6879664876244285, 0.6875937689434398, 0.6869507269425825, 0.6869984648444436, 0.6830185164104808, 0.6822351217269897, 0.6780164512720975, 0.6818712245334279]","[0.6916471521059672, 0.6897278229395548, 0.6886784036954244, 0.6886291106541952, 0.6869529684384664, 0.686508039633433, 0.6860883831977844, 0.685847818851471, 0.6868400772412618, 0.6848646998405457]",0.31239388794567063,"              precision    recall  f1-score   support

           0       0.10      0.51      0.16        35
           1       0.96      0.70      0.81       554

    accuracy                           0.69       589
   macro avg       0.53      0.61      0.49       589
weighted avg       0.91      0.69      0.77       589
"
4,0.5959252971137521,"[0.6970333782109347, 0.6953834782947194, 0.692793455990878, 0.6923556652936068, 0.690416769547896, 0.6907124519348145, 0.6859830076044257, 0.6872741959311746, 0.6871669509194114, 0.6865336515686729]","[0.6948752601941427, 0.6933110356330872, 0.6914763649304708, 0.6904613176981608, 0.6897822419802347, 0.6890232165654501, 0.6885810494422913, 0.687459409236908, 0.6868784626324972, 0.6860697666803995]",0.40407470288624786,"              precision    recall  f1-score   support

           0       0.07      0.55      0.12        31
           1       0.96      0.60      0.74       558

    accuracy                           0.60       589
   macro avg       0.52      0.57      0.43       589
weighted avg       0.91      0.60      0.71       589
"
5,0.733446519524618,"[0.701641174879941, 0.6964751156893644, 0.6917725584723733, 0.6926680207252502, 0.6938408288088712, 0.6931184963746504, 0.6912661628289656, 0.6878790205175226, 0.6877896189689636, 0.6870563463731245]","[0.6948778430620829, 0.6933851440747579, 0.6922659675280253, 0.6911044915517172, 0.6902656157811483, 0.6896335879961649, 0.6887495319048563, 0.6882594029108683, 0.6877805789311727, 0.6870130499204]",0.266553480475382,"              precision    recall  f1-score   support

           0       0.08      0.32      0.13        37
           1       0.94      0.76      0.84       552

    accuracy                           0.73       589
   macro avg       0.51      0.54      0.49       589
weighted avg       0.89      0.73      0.80       589
"
6,0.7113752122241087,"[0.6936249353668906, 0.6919967857274142, 0.6893331679430875, 0.6848819201642816, 0.6874063611030579, 0.6844014525413513, 0.682568533854051, 0.6873228875073519, 0.6834308505058289, 0.680855848572471]","[0.6920345226923624, 0.691513180732727, 0.691234290599823, 0.6914825240770975, 0.6910521984100342, 0.6904087861378988, 0.6902477343877157, 0.6894433895746866, 0.6891657114028931, 0.6892618934313456]",0.28862478777589134,"              precision    recall  f1-score   support

           0       0.09      0.48      0.15        31
           1       0.96      0.72      0.83       558

    accuracy                           0.71       589
   macro avg       0.53      0.60      0.49       589
weighted avg       0.92      0.71      0.79       589
"
7,0.7826825127334465,"[0.6976518414237283, 0.6915945952588861, 0.6869896379384127, 0.6854150728745894, 0.6853796514597806, 0.6850632483308966, 0.6830073486674916, 0.6785275936126709, 0.677583786574277, 0.677362707528201]","[0.6911542614301046, 0.6912977695465088, 0.6917586326599121, 0.691381057103475, 0.690027137597402, 0.6897995670636495, 0.688274602095286, 0.6872873902320862, 0.6865986585617065, 0.6870181560516357]",0.21731748726655348,"              precision    recall  f1-score   support

           0       0.08      0.33      0.14        30
           1       0.96      0.81      0.88       559

    accuracy                           0.78       589
   macro avg       0.52      0.57      0.51       589
weighted avg       0.91      0.78      0.84       589
"
8,0.4244482173174873,"[0.6923544732007113, 0.6905910210175947, 0.6909402771429582, 0.6876761208881031, 0.6847480914809487, 0.6838730248537931, 0.6857758489522067, 0.6827707073905251, 0.6839846806092695, 0.6794582605361938]","[0.6948057810465494, 0.6944393118222555, 0.6934802730878195, 0.6929721633593241, 0.692564845085144, 0.6922613978385925, 0.6918301383654276, 0.6919184327125549, 0.6914216677347819, 0.691186805566152]",0.5755517826825127,"              precision    recall  f1-score   support

           0       0.07      0.81      0.13        32
           1       0.97      0.40      0.57       557

    accuracy                           0.42       589
   macro avg       0.52      0.61      0.35       589
weighted avg       0.92      0.42      0.55       589
"
9,0.8234295415959253,"[0.6998040730302985, 0.6891258467327465, 0.689645528793335, 0.6893294399434869, 0.687209584496238, 0.6866548711603339, 0.6854636506600813, 0.6848847107453779, 0.6836491985754534, 0.6836203932762146]","[0.6933739384015402, 0.6920967499415079, 0.6913858453432719, 0.6896121899286906, 0.6870455741882324, 0.6855087280273438, 0.6847919027010599, 0.6835052371025085, 0.6831702987353007, 0.6814341147740682]",0.1765704584040747,"              precision    recall  f1-score   support

           0       0.11      0.37      0.17        30
           1       0.96      0.85      0.90       559

    accuracy                           0.82       589
   macro avg       0.54      0.61      0.54       589
weighted avg       0.92      0.82      0.86       589
"
