,Accuracy,Train Losses,Test Losses,MAE
0,0.9615384615384616,"[0.5907576166921191, 0.4531649599472682, 0.423025231808424, 0.4428632406310903, 0.4743524197902944, 0.565336218310727, 0.5706240798139738, 0.48653390708689886, 0.6305998233146966, 0.551500622390045]","[0.5647674463689327, 0.5130722634494305, 0.5167022924870253, 0.5296709816902876, 0.5465260511264205, 0.5583100970834494, 0.5792157682590187, 0.595112472306937, 0.5966299064457417, 0.6068846699781716]",0.038461538461538464
1,0.9230769230769231,"[0.6923433625035815, 0.6511891434590021, 0.669858504500654, 0.6477991624010934, 0.7102606172362963, 0.7302419576379988, 0.7496247573031319, 0.7100120153692033, 0.6725282064742513, 0.6695206690993574]","[0.6752700209617615, 0.6836357563734055, 0.7006343118846416, 0.7162287570536137, 0.7235921248793602, 0.7320521846413612, 0.710116982460022, 0.7224471680819988, 0.7340788207948208, 0.7567082401365042]",0.07692307692307693
2,0.7307692307692307,"[0.7179223183128569, 0.7031448036432266, 0.6896304902103212, 0.6892947124110328, 0.683094764749209, 0.6688366201188829, 0.6988031019767126, 0.6934322979715135, 0.6919994321134355, 0.7093679242663913]","[0.7033196985721588, 0.6961103528738022, 0.6972181648015976, 0.6946702674031258, 0.6901281550526619, 0.6915456503629684, 0.6879123672842979, 0.6853108555078506, 0.6878440231084824, 0.6815479546785355]",0.2692307692307692
3,0.7307692307692307,"[0.6963521755403943, 0.6813644104533725, 0.6961389548248715, 0.6998447957966063, 0.6686203330755234, 0.7157955177956157, 0.6877630708946122, 0.678544388877021, 0.6833921612964736, 0.705390909479724]","[0.7256017029285431, 0.7249547690153122, 0.7303240746259689, 0.732495866715908, 0.746880017220974, 0.7497585900127888, 0.7484659366309643, 0.7469574585556984, 0.7552585862576962, 0.7544967718422413]",0.2692307692307692
4,0.717948717948718,"[0.6980004343721602, 0.6917383207215203, 0.7090926782952415, 0.703560988108317, 0.6932161036464903, 0.6920605152845383, 0.7076122098498874, 0.695115296377076, 0.6976142956150903, 0.695210756527053]","[0.7192007228732109, 0.7245562225580215, 0.7215355485677719, 0.7205702587962151, 0.7211744114756584, 0.7170852497220039, 0.7165399193763733, 0.716719888150692, 0.7213931977748871, 0.7232779115438461]",0.28205128205128205
5,0.8461538461538461,"[0.7461356901460223, 0.7124110013246536, 0.6705938345856137, 0.6780432214339575, 0.6626851815316412, 0.6663889313737551, 0.7048684573835797, 0.6636744166413943, 0.6259046586023437, 0.7196276866727405]","[0.6859409064054489, 0.6654591858386993, 0.654389388859272, 0.660885076969862, 0.6561365462839603, 0.665287047624588, 0.6700305640697479, 0.675654049962759, 0.6874733455479145, 0.7023940868675709]",0.15384615384615385
6,0.7564102564102564,"[0.7044984102249146, 0.6915251364310583, 0.675996393793159, 0.683719782365693, 0.7056470273269547, 0.6825122270319197, 0.7079175950752364, 0.6966289157668749, 0.6756568170256085, 0.6969393682148721]","[0.7312158197164536, 0.7274645790457726, 0.7311485558748245, 0.7311205491423607, 0.7250913083553314, 0.7299985587596893, 0.7245907932519913, 0.7179511487483978, 0.7151073515415192, 0.7104460671544075]",0.24358974358974358
7,0.7051282051282052,"[0.706687769956059, 0.7089279012547599, 0.6843310313092338, 0.7000251230266359, 0.7046655565500259, 0.6788341005643209, 0.6983458913034863, 0.6932932866944207, 0.7128316130903032, 0.6870932628711065]","[0.7105889990925789, 0.7085865512490273, 0.7082405984401703, 0.7069732770323753, 0.7068035006523132, 0.714272677898407, 0.7105157896876335, 0.7151936441659927, 0.7134732306003571, 0.7202755734324455]",0.2948717948717949
8,0.6103896103896104,"[0.7049196941985024, 0.6952320751216676, 0.6851503815915849, 0.6964389218224419, 0.6708000037405226, 0.6895582328240076, 0.6862994051641889, 0.7039564599593481, 0.6824366350968679, 0.6875981398754649]","[0.6973287239670753, 0.6861903592944145, 0.6769039034843445, 0.6731026694178581, 0.668256863951683, 0.6677070036530495, 0.6679281666874886, 0.6688465997576714, 0.6717841923236847, 0.671572208404541]",0.38961038961038963
9,0.8571428571428571,"[0.6810571716891395, 0.6973265045218997, 0.7178160573045412, 0.6836072711480988, 0.6535371500584815, 0.6695556657181846, 0.676583944923348, 0.6997860959834523, 0.7069374910659261, 0.7174538398782412]","[0.70916348695755, 0.7032470181584358, 0.7025771588087082, 0.7017841078341007, 0.7051107101142406, 0.7046314738690853, 0.7017051503062248, 0.7076293267309666, 0.7079300545156002, 0.6962522007524967]",0.14285714285714285
