,Accuracy,Train Losses,Classification
0,0.8653846383094788,"[0.5928089022636414, 0.4232988953590393, 0.3443581759929657, 0.294497549533844, 0.24715210497379303, 0.20450595021247864, 0.1670844405889511, 0.1363895982503891, 0.11106794327497482, 0.09177417308092117]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        14
           1       0.87      1.00      0.93        90

    accuracy                           0.87       104
   macro avg       0.43      0.50      0.46       104
weighted avg       0.75      0.87      0.80       104
"
1,0.8942307829856873,"[0.5945488810539246, 0.41250863671302795, 0.32392558455467224, 0.2734229862689972, 0.22936391830444336, 0.18518982827663422, 0.15016962587833405, 0.12008745223283768, 0.09548894315958023, 0.07689379155635834]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        11
           1       0.89      1.00      0.94        93

    accuracy                           0.89       104
   macro avg       0.45      0.50      0.47       104
weighted avg       0.80      0.89      0.84       104
"
2,0.9038461446762085,"[0.5907654166221619, 0.4034290313720703, 0.31749725341796875, 0.2689708471298218, 0.22993624210357666, 0.19487005472183228, 0.16312354803085327, 0.13309332728385925, 0.10981174558401108, 0.09100132435560226]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        10
           1       0.90      1.00      0.95        94

    accuracy                           0.90       104
   macro avg       0.45      0.50      0.47       104
weighted avg       0.82      0.90      0.86       104
"
3,0.8653846383094788,"[0.6028549671173096, 0.43053126335144043, 0.3464607298374176, 0.2954805791378021, 0.25025707483291626, 0.2062973529100418, 0.17059333622455597, 0.13723903894424438, 0.1117248609662056, 0.09218631684780121]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        14
           1       0.87      1.00      0.93        90

    accuracy                           0.87       104
   macro avg       0.43      0.50      0.46       104
weighted avg       0.75      0.87      0.80       104
"
4,0.844660222530365,"[0.5949445962905884, 0.4177023768424988, 0.3346438705921173, 0.2875329554080963, 0.24493323266506195, 0.20715400576591492, 0.16659213602542877, 0.13559913635253906, 0.11029194295406342, 0.08914542198181152]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        16
           1       0.84      1.00      0.92        87

    accuracy                           0.84       103
   macro avg       0.42      0.50      0.46       103
weighted avg       0.71      0.84      0.77       103
"
5,0.8834951519966125,"[0.5847265720367432, 0.41021379828453064, 0.3335573375225067, 0.2878534197807312, 0.2446485310792923, 0.20333993434906006, 0.16805008053779602, 0.13951289653778076, 0.1132691353559494, 0.09450863301753998]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        12
           1       0.88      1.00      0.94        91

    accuracy                           0.88       103
   macro avg       0.44      0.50      0.47       103
weighted avg       0.78      0.88      0.83       103
"
6,0.8737863898277283,"[0.6077483296394348, 0.4451943337917328, 0.3658652603626251, 0.3201843798160553, 0.2752745449542999, 0.2289484143257141, 0.1904008388519287, 0.15170323848724365, 0.12244564294815063, 0.09938361495733261]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        13
           1       0.87      1.00      0.93        90

    accuracy                           0.87       103
   macro avg       0.44      0.50      0.47       103
weighted avg       0.76      0.87      0.81       103
"
7,0.9029126167297363,"[0.5914415121078491, 0.4108937382698059, 0.3264613449573517, 0.2798188030719757, 0.24037010967731476, 0.19989508390426636, 0.1646135300397873, 0.1354815661907196, 0.11349321156740189, 0.09428302198648453]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        10
           1       0.90      1.00      0.95        93

    accuracy                           0.90       103
   macro avg       0.45      0.50      0.47       103
weighted avg       0.82      0.90      0.86       103
"
8,0.844660222530365,"[0.6029067635536194, 0.43171223998069763, 0.3520069718360901, 0.29834190011024475, 0.25000858306884766, 0.20318026840686798, 0.16545706987380981, 0.13383157551288605, 0.10885382443666458, 0.08921551704406738]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        16
           1       0.84      1.00      0.92        87

    accuracy                           0.84       103
   macro avg       0.42      0.50      0.46       103
weighted avg       0.71      0.84      0.77       103
"
9,0.9029126167297363,"[0.5875289440155029, 0.4099683165550232, 0.3319737911224365, 0.2858978807926178, 0.2420537918806076, 0.1986227035522461, 0.16001690924167633, 0.13017548620700836, 0.10564091801643372, 0.08620277047157288]","              precision    recall  f1-score   support

           0       0.00      0.00      0.00        10
           1       0.90      1.00      0.95        93

    accuracy                           0.90       103
   macro avg       0.45      0.50      0.47       103
weighted avg       0.82      0.90      0.86       103
"
